Dataset,Num nodes,Enc,Dec,Emb loss,Emb loss std,Mean mean,Mean std,Std mean,Std std,Best mean,Best std,Bad time,Enc time,Dec time
iris,64,Direct,NJ,-1.0,0.0,43.853480244888104,7.489778066296963e-15,-1.0,0.0,43.853480244888104,7.489778066296963e-15,0.0,-1.0,0.7677507400512695
iris,64,Direct,TreeRep,-1.0,0.0,45.042117477761096,4.077440347236787,17.913716612241654,3.05408997906231,22.592748050461395,2.2032634729822123,0.0,-1.0,1.3611169457435608
iris,64,Direct,single,-1.0,0.0,84.66042126148054,1.4979556132593925e-14,-1.0,0.0,84.66042126148054,1.4979556132593925e-14,0.0,-1.0,0.0008983612060546
iris,64,Direct,complete,-1.0,0.0,58.13618636901502,0.0,-1.0,0.0,58.13618636901502,0.0,0.0,-1.0,0.0011425018310546
iris,64,Direct,average,-1.0,0.0,23.386448321514184,3.744889033148481e-15,-1.0,0.0,23.386448321514184,3.744889033148481e-15,0.0,-1.0,0.0010137557983398
iris,64,Direct,weighted,-1.0,0.0,27.205887096240453,3.744889033148481e-15,-1.0,0.0,27.205887096240453,3.744889033148481e-15,0.0,-1.0,0.0009641647338867
iris,64,Direct,centroid,-1.0,0.0,23.529838003708086,3.744889033148481e-15,-1.0,0.0,23.529838003708086,3.744889033148481e-15,0.0,-1.0,0.0011320114135742
iris,64,Direct,median,-1.0,0.0,27.912373878791907,0.0,-1.0,0.0,27.912373878791907,0.0,0.0,-1.0,0.001070499420166
iris,64,Direct,ward,-1.0,0.0,588.2567087176396,0.0,-1.0,0.0,588.2567087176396,0.0,0.0,-1.0,0.0010645389556884
iris,64,Hyp,NJ,15.641845785305165,4.6357325104238495e-07,18.17950488356951,1.8730998990736977e-06,-1.0,0.0,18.17950488356951,1.8730998990736977e-06,0.0,762.0991642475128,0.8524720668792725
iris,64,Hyp,TreeRep,15.641845785305165,4.6357325104238495e-07,24.552259505987898,1.2717524482336207,5.722770110559946,1.1557856840589849,19.002189039720918,0.2401038277655601,0.0,0.0104131698608398,1.6516125679016114
iris,64,Hyp,single,15.641845785305165,4.6357325104238495e-07,65.9705592013397,1.99609884002618e-05,-1.0,0.0,65.9705592013397,1.99609884002618e-05,0.0,0.00691819190979,0.000901460647583
iris,64,Hyp,complete,15.641845785305165,4.6357325104238495e-07,30.955591163494084,1.1404282256298723e-05,-1.0,0.0,30.955591163494084,1.1404282256298723e-05,0.0,0.0067851543426513,0.001401662826538
iris,64,Hyp,average,15.641845785305165,4.6357325104238495e-07,22.997756687428645,1.8159705387059138e-07,-1.0,0.0,22.997756687428645,1.8159705387059138e-07,0.0,0.0055510997772216,0.0011789798736572
iris,64,Hyp,weighted,15.641845785305165,4.6357325104238495e-07,29.074657224624502,2.9782467599179737e-06,-1.0,0.0,29.074657224624502,2.9782467599179737e-06,0.0,0.0054657459259033,0.001070499420166
iris,64,Hyp,centroid,15.641845785305165,4.6357325104238495e-07,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0052404403686523,-1.0
iris,64,Hyp,median,15.641845785305165,4.6357325104238495e-07,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0052123069763183,-1.0
iris,64,Hyp,ward,15.641845785305165,4.6357325104238495e-07,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0051794052124023,-1.0
