Dataset,Num nodes,Enc,Dec,Emb loss,Emb loss std,Mean mean,Mean std,Std mean,Std std,Best mean,Best std,Bad time,Enc time,Dec time
zoo,64,Direct,NJ,-1.0,0.0,11.774318836595722,0.0,-1.0,0.0,11.774318836595722,0.0,0.0,-1.0,0.2865698337554931
zoo,64,Direct,TreeRep,-1.0,0.0,26.505989248633153,1.9057197515132362,7.0883539771078885,1.2228008003523108,16.72147389972398,1.3879246016983917,0.0,-1.0,0.746600341796875
zoo,64,Direct,single,-1.0,0.0,34.533204511666625,7.489778066296963e-15,-1.0,0.0,34.533204511666625,7.489778066296963e-15,0.0,-1.0,0.0008084774017333
zoo,64,Direct,complete,-1.0,0.0,20.78123600006757,0.0,-1.0,0.0,20.78123600006757,0.0,0.0,-1.0,0.0006854534149169
zoo,64,Direct,average,-1.0,0.0,10.045921388741473,0.0,-1.0,0.0,10.045921388741473,0.0,0.0,-1.0,0.0006413459777832
zoo,64,Direct,weighted,-1.0,0.0,12.088090410440886,0.0,-1.0,0.0,12.088090410440886,0.0,0.0,-1.0,0.0007855892181396
zoo,64,Direct,centroid,-1.0,0.0,13.634904582602314,1.8724445165742407e-15,-1.0,0.0,13.634904582602314,1.8724445165742407e-15,0.0,-1.0,0.0006685256958007
zoo,64,Direct,median,-1.0,0.0,21.23960510922271,0.0,-1.0,0.0,21.23960510922271,0.0,0.0,-1.0,0.0006477832794189
zoo,64,Direct,ward,-1.0,0.0,227.6230396559648,2.995911226518785e-14,-1.0,0.0,227.6230396559648,2.995911226518785e-14,0.0,-1.0,0.0007534027099609
zoo,64,Hyp,NJ,7.3458073896102505,0.0006634985771444748,9.48729368744792,0.03398643465495817,-1.0,0.0,9.48729368744792,0.03398643465495817,0.0,540.6586859226227,0.7644469738006592
zoo,64,Hyp,TreeRep,7.3458073896102505,0.0006634985771444748,12.873860658544846,0.7886171516743415,2.9850999011740886,1.293361082925777,10.346392625478535,0.27954986835453116,0.0,0.0084774494171142,0.9933316707611084
zoo,64,Hyp,single,7.3458073896102505,0.0006634985771444748,19.55688362498789,0.022105496236330638,-1.0,0.0,19.55688362498789,0.022105496236330638,0.0,0.00634765625,0.0007481575012207
zoo,64,Hyp,complete,7.3458073896102505,0.0006634985771444748,11.218330814086807,0.0020498592391882155,-1.0,0.0,11.218330814086807,0.0020498592391882155,0.0,0.0046381950378417,0.0007052421569824
zoo,64,Hyp,average,7.3458073896102505,0.0006634985771444748,9.231010152988734,0.002888788570828899,-1.0,0.0,9.231010152988734,0.002888788570828899,0.0,0.0045797824859619,0.0006487369537353
zoo,64,Hyp,weighted,7.3458073896102505,0.0006634985771444748,11.269515437057152,0.03341613981486544,-1.0,0.0,11.269515437057152,0.03341613981486544,0.0,0.0046055316925048,0.0007693767547607
zoo,64,Hyp,centroid,7.3458073896102505,0.0006634985771444748,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0046360492706298,-1.0
zoo,64,Hyp,median,7.3458073896102505,0.0006634985771444748,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0045661926269531,-1.0
zoo,64,Hyp,ward,7.3458073896102505,0.0006634985771444748,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0046358108520507,-1.0
