Dataset,Num nodes,Enc,Dec,Emb loss,Emb loss std,Mean mean,Mean std,Std mean,Std std,Best mean,Best std,Bad time,Enc time,Dec time
random_tree,128,Direct,NJ,-1.0,0.0,283.73005864066226,16.7049386914515,-1.0,0.0,283.73005864066226,16.7049386914515,0.0,-1.0,0.5325431823730469
random_tree,128,Direct,TreeRep,-1.0,0.0,720.1366138453227,116.27724724871969,135.3973800307687,48.6352895681522,505.0303878031555,44.71432286759368,0.0,-1.0,1.0395684480667111
random_tree,128,Direct,single,-1.0,0.0,936.9809192669878,57.027496827281325,-1.0,0.0,936.9809192669878,57.027496827281325,0.0,-1.0,0.0006940364837646
random_tree,128,Direct,complete,-1.0,0.0,826.7348974132846,43.555873295904,-1.0,0.0,826.7348974132846,43.555873295904,0.0,-1.0,0.0007879734039306
random_tree,128,Direct,average,-1.0,0.0,323.58531865947026,20.387586524141756,-1.0,0.0,323.58531865947026,20.387586524141756,0.0,-1.0,0.000809907913208
random_tree,128,Direct,weighted,-1.0,0.0,340.9394523082769,12.645791479656618,-1.0,0.0,340.9394523082769,12.645791479656618,0.0,-1.0,0.0008802413940429
random_tree,128,Direct,centroid,-1.0,0.0,515.8716148018439,23.74325276901807,-1.0,0.0,515.8716148018439,23.74325276901807,0.0,-1.0,0.0008208751678466
random_tree,128,Direct,median,-1.0,0.0,542.2363230720865,52.88538650068788,-1.0,0.0,542.2363230720865,52.88538650068788,0.0,-1.0,0.0008583068847656
random_tree,128,Hyp,NJ,91.48664038481961,5.486445332390471,292.85225979714016,42.77831665107201,-1.0,0.0,292.85225979714016,42.77831665107201,0.0,332.6134750843048,0.6801578998565674
random_tree,128,Hyp,TreeRep,91.48664038481961,5.486445332390471,603.9469777920866,102.40888793424224,116.49642930676966,58.21628506037316,439.1055351017376,37.48071378793023,0.0,0.1393036842346191,1.1590877294540405
random_tree,128,Hyp,single,91.48664038481961,5.486445332390471,925.1681522783741,50.17408483541495,-1.0,0.0,925.1681522783741,50.17408483541495,0.0,0.1457254886627197,0.0007352828979492
random_tree,128,Hyp,complete,91.48664038481961,5.486445332390471,776.1945987187102,43.43534539878243,-1.0,0.0,776.1945987187102,43.43534539878243,0.0,0.1448290348052978,0.000864028930664
random_tree,128,Hyp,average,91.48664038481961,5.486445332390471,322.6361603343704,15.472296648478512,-1.0,0.0,322.6361603343704,15.472296648478512,0.0,0.1302299499511718,0.0007474422454833
random_tree,128,Hyp,weighted,91.48664038481961,5.486445332390471,337.03967460412446,9.29398571480495,-1.0,0.0,337.03967460412446,9.29398571480495,0.0,0.1422750949859619,0.0008468627929687
random_tree,128,Hyp,centroid,91.48664038481961,5.486445332390471,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.1383297443389892,-1.0
random_tree,128,Hyp,median,91.48664038481961,5.486445332390471,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.1506564617156982,-1.0
