Dataset,Num nodes,Enc,Dec,Emb loss,Mean,Std,Best,Bad time,Enc time,Dec time
zoo,64,Direct,NJ,-1.0,11.774318836595722,-1.0,11.774318836595722,0.0,-1.0,2.278717517852783
zoo,64,Direct,NJ,-1.0,11.774318836595722,-1.0,11.774318836595722,0.0,-1.0,0.23958635330200195
zoo,64,Direct,NJ,-1.0,11.774318836595722,-1.0,11.774318836595722,0.0,-1.0,0.24027180671691895
zoo,64,Direct,NJ,-1.0,11.774318836595722,-1.0,11.774318836595722,0.0,-1.0,0.2810044288635254
zoo,64,Direct,NJ,-1.0,11.774318836595722,-1.0,11.774318836595722,0.0,-1.0,0.23582053184509277
zoo,64,Direct,NJ,-1.0,11.774318836595722,-1.0,11.774318836595722,0.0,-1.0,0.23977899551391602
zoo,64,Direct,NJ,-1.0,11.774318836595722,-1.0,11.774318836595722,0.0,-1.0,0.31275153160095215
zoo,64,Direct,NJ,-1.0,11.774318836595722,-1.0,11.774318836595722,0.0,-1.0,0.25089502334594727
zoo,64,Direct,NJ,-1.0,11.774318836595722,-1.0,11.774318836595722,0.0,-1.0,0.24905705451965332
zoo,64,Direct,NJ,-1.0,11.774318836595722,-1.0,11.774318836595722,0.0,-1.0,0.533893346786499
zoo,64,Hyp,NJ,7.3464252997945785,9.474582085150875,-1.0,9.474582085150875,0.0,427.7620496749878,0.2798759937286377
zoo,64,Hyp,NJ,7.345388923166079,9.477738556268449,-1.0,9.477738556268449,0.0,478.96914625167847,0.30428075790405273
zoo,64,Hyp,NJ,7.34713455609719,9.474907784435008,-1.0,9.474907784435008,0.0,430.4758849143982,0.6603467464447021
zoo,64,Hyp,NJ,7.345688477122029,9.478135344422812,-1.0,9.478135344422812,0.0,446.6945354938507,0.28176164627075195
zoo,64,Hyp,NJ,7.345305803566561,9.474545728994816,-1.0,9.474545728994816,0.0,542.8756573200226,0.3211350440979004
zoo,64,Hyp,NJ,7.34502042828009,9.47824873672456,-1.0,9.47824873672456,0.0,439.78838777542114,0.3739657402038574
zoo,64,Hyp,NJ,7.345340544843847,9.476417915546081,-1.0,9.476417915546081,0.0,451.69493412971497,0.305255651473999
