Dataset,Num nodes,Enc,Dec,Emb loss,Mean,Std,Best,Bad time,Enc time,Dec time
random_tree,64,Direct,NJ,-1.0,134.24537097316832,-1.0,134.24537097316832,0.0,-1.0,0.2706489562988281
random_tree,64,Direct,NJ,-1.0,129.26432965723512,-1.0,129.26432965723512,0.0,-1.0,0.5063741207122803
random_tree,64,Direct,NJ,-1.0,155.2036685380943,-1.0,155.2036685380943,0.0,-1.0,0.21634578704833984
random_tree,64,Direct,TreeRep,-1.0,242.4917947643537,43.140535166951004,173.0697113882149,0.0,-1.0,0.8278082847595215
random_tree,64,Direct,TreeRep,-1.0,286.8807411195921,80.59559963511136,153.07118952467835,0.0,-1.0,0.4689419150352478
random_tree,64,Direct,TreeRep,-1.0,267.6040760941968,70.77087866053499,176.6567309386696,0.0,-1.0,0.47938990592956543
random_tree,64,Direct,single,-1.0,341.2711531905385,-1.0,341.2711531905385,0.0,-1.0,0.001058816909790039
random_tree,64,Direct,single,-1.0,364.3377553863997,-1.0,364.3377553863997,0.0,-1.0,0.0004038810729980469
random_tree,64,Direct,single,-1.0,431.8379325626687,-1.0,431.8379325626687,0.0,-1.0,0.0003769397735595703
random_tree,64,Direct,complete,-1.0,330.4027844918986,-1.0,330.4027844918986,0.0,-1.0,0.0004525184631347656
random_tree,64,Direct,complete,-1.0,311.02411482070005,-1.0,311.02411482070005,0.0,-1.0,0.0004267692565917969
random_tree,64,Direct,complete,-1.0,487.3109889998378,-1.0,487.3109889998378,0.0,-1.0,0.0004341602325439453
random_tree,64,Direct,average,-1.0,129.25372951381476,-1.0,129.25372951381476,0.0,-1.0,0.0004210472106933594
random_tree,64,Direct,average,-1.0,129.10439455971274,-1.0,129.10439455971274,0.0,-1.0,0.00042748451232910156
random_tree,64,Direct,average,-1.0,187.69549281369953,-1.0,187.69549281369953,0.0,-1.0,0.00043129920959472656
random_tree,64,Direct,weighted,-1.0,132.88806773141064,-1.0,132.88806773141064,0.0,-1.0,0.000423431396484375
random_tree,64,Direct,weighted,-1.0,137.00214008280747,-1.0,137.00214008280747,0.0,-1.0,0.0004267692565917969
random_tree,64,Direct,weighted,-1.0,217.1804413552537,-1.0,217.1804413552537,0.0,-1.0,0.000408172607421875
random_tree,64,Direct,centroid,-1.0,210.75244262314888,-1.0,210.75244262314888,0.0,-1.0,0.00046896934509277344
random_tree,64,Direct,centroid,-1.0,207.7729738275108,-1.0,207.7729738275108,0.0,-1.0,0.00043201446533203125
random_tree,64,Direct,centroid,-1.0,235.1871928688665,-1.0,235.1871928688665,0.0,-1.0,0.000438690185546875
random_tree,64,Direct,median,-1.0,218.31057780137368,-1.0,218.31057780137368,0.0,-1.0,0.00040912628173828125
random_tree,64,Direct,median,-1.0,222.41187319922503,-1.0,222.41187319922503,0.0,-1.0,0.0004885196685791016
random_tree,64,Direct,median,-1.0,231.03367710519055,-1.0,231.03367710519055,0.0,-1.0,0.0004706382751464844
random_tree,64,Hyp,NJ,29.478942181502255,111.03045814095897,-1.0,111.03045814095897,0.0,159.10989904403687,0.303729772567749
random_tree,64,Hyp,NJ,34.94121075337201,116.2234408230198,-1.0,116.2234408230198,0.0,159.92986750602722,0.39373230934143066
random_tree,64,Hyp,NJ,34.36314695572694,124.32061257528672,-1.0,124.32061257528672,0.0,160.1148021221161,0.3238410949707031
random_tree,64,Hyp,TreeRep,29.478942181502255,208.14292545389998,36.15833863068283,155.23280472493263,0.0,0.06503558158874512,0.5769113779067994
random_tree,64,Hyp,TreeRep,34.94121075337201,233.0280089627533,65.42430018765924,141.8264532888163,0.0,0.07543754577636719,0.543763256072998
random_tree,64,Hyp,TreeRep,34.36314695572694,230.2086554253233,63.98545627215555,154.08043184380287,0.0,0.06908845901489258,0.5833365321159363
random_tree,64,Hyp,single,29.478942181502255,325.53937413297416,-1.0,325.53937413297416,0.0,0.07497596740722656,0.0006401538848876953
random_tree,64,Hyp,single,34.94121075337201,361.53921954827575,-1.0,361.53921954827575,0.0,0.07251930236816406,0.00044465065002441406
random_tree,64,Hyp,single,34.36314695572694,424.5942341581673,-1.0,424.5942341581673,0.0,0.06999897956848145,0.0004220008850097656
random_tree,64,Hyp,complete,29.478942181502255,292.4694652519032,-1.0,292.4694652519032,0.0,0.07050395011901855,0.00046372413635253906
random_tree,64,Hyp,complete,34.94121075337201,269.11469355682567,-1.0,269.11469355682567,0.0,0.07010173797607422,0.0004553794860839844
random_tree,64,Hyp,complete,34.36314695572694,505.054769337783,-1.0,505.054769337783,0.0,0.0681605339050293,0.0004458427429199219
random_tree,64,Hyp,average,29.478942181502255,133.12128496860254,-1.0,133.12128496860254,0.0,0.06678342819213867,0.0005357265472412109
random_tree,64,Hyp,average,34.94121075337201,131.11366743154147,-1.0,131.11366743154147,0.0,0.06924796104431152,0.0004532337188720703
random_tree,64,Hyp,average,34.36314695572694,185.28382703923685,-1.0,185.28382703923685,0.0,0.06996870040893555,0.0004527568817138672
random_tree,64,Hyp,weighted,29.478942181502255,134.37038248763034,-1.0,134.37038248763034,0.0,0.06994843482971191,0.00044918060302734375
random_tree,64,Hyp,weighted,34.94121075337201,132.17720421758614,-1.0,132.17720421758614,0.0,0.06949639320373535,0.0006129741668701172
random_tree,64,Hyp,weighted,34.36314695572694,186.05296992693724,-1.0,186.05296992693724,0.0,0.07970809936523438,0.0005559921264648438
random_tree,64,Hyp,centroid,29.478942181502255,-1.0,-1.0,-1.0,-1.0,0.06865477561950684,-1.0
random_tree,64,Hyp,centroid,34.94121075337201,-1.0,-1.0,-1.0,-1.0,0.06868267059326172,-1.0
random_tree,64,Hyp,centroid,34.36314695572694,-1.0,-1.0,-1.0,-1.0,0.07705020904541016,-1.0
random_tree,64,Hyp,median,29.478942181502255,-1.0,-1.0,-1.0,-1.0,0.07151556015014648,-1.0
random_tree,64,Hyp,median,34.94121075337201,-1.0,-1.0,-1.0,-1.0,0.06810379028320312,-1.0
random_tree,64,Hyp,median,34.36314695572694,-1.0,-1.0,-1.0,-1.0,0.05849909782409668,-1.0
# Namespace(Normalization=False, anneal_every=200, anneal_factor=1.0, batch_size=1000000, burnin=50, burnin_factor=10, c=100, check_tree=False, dataset='random_tree', dec_method='median', dec_repeat=20, device=0, dtype='double', enc_method='Hyp', epochs=500, eval_every=1, fast_decoding=1, init_size=1e-06, learning_rate=0.001, max_scale=0.999, noise_scale=0.1, num_nodes=64, num_samples=-1, num_workers=1, optimizer='RAdam', p=2, patience=50, rank=64, save=True, scaling_factor=0.01, seed=3, temperature=0.01, verbose=False)
